,DQN
2224,-8
2225,-3
2226,-1
2227,-1
2228,-1
2229,-5
2230,-2
2231,-5
2232,1
2233,-1
2234,1
2235,-2
2236,-20
2237,-1
2238,1
2239,-3
2240,1
2241,-2
2242,0
2243,-12
2244,-5
2245,-20
2246,-20
2247,-10
2248,1
2249,0
2250,-20
2251,0
2252,-1
2253,-4
2254,-2
2255,0
2256,-2
2257,0
2258,-2
2259,-2
2260,-1
2261,-1
2262,-1
2263,-2
2264,1
2265,0
2266,0
2267,0
2268,-5
2269,0
2270,1
2271,-1
2272,-1
2273,-2
2274,-1
2275,-6
2276,-1
2277,0
2278,-2
2279,-12
2280,0
2281,-2
2282,-3
2283,-17
2284,-1
2285,-1
2286,-3
2287,-2
2288,0
2289,-1
2290,-1
2291,0
2292,-4
2293,0
2294,-1
2295,-1
2296,0
2297,-20
2298,0
2299,-1
2300,-2
2301,-1
2302,-1
2303,-1
2304,-1
2305,-1
2306,0
2307,-1
2308,0
2309,-2
2310,-6
2311,-5
2312,-5
2313,0
2314,-5
2315,-3
2316,-2
2317,-4
2318,-2
2319,0
2320,-1
2321,1
2322,-1
2323,-1
2324,0
2325,0
2326,-4
2327,0
2328,0
2329,-10
2330,-5
2331,-5
2332,0
2333,0
2334,0
2335,-1
2336,-1
2337,1
2338,1
2339,0
2340,-1
2341,-1
2342,-6
2343,-1
2344,0
2345,-2
2346,-2
2347,-1
2348,-2
2349,-6
2350,-1
2351,-2
2352,-4
2353,0
2354,-1
2355,0
2356,-1
2357,-1
2358,-1
2359,0
2360,-3
2361,0
2362,-4
2363,1
2364,-6
2365,0
2366,-2
2367,-1
2368,-2
2369,-2
2370,-1
2371,-3
2372,1
2373,0
2374,-4
2375,-2
2376,-8
2377,-3
2378,-7
2379,-2
2380,0
2381,-1
2382,-2
2383,1
2384,0
2385,-3
2386,-1
2387,-2
2388,1
2389,-3
2390,0
2391,-3
2392,0
2393,-1
2394,1
2395,-2
2396,-1
2397,0
2398,-2
2399,-2
2400,0
2401,0
2402,-1
2403,1
2404,-3
2405,-4
2406,-10
2407,0
2408,-2
2409,0
2410,-1
2411,-1
2412,0
2413,-3
2414,-1
2415,-1
2416,-7
2417,-6
2418,-8
2419,-3
2420,0
2421,-20
2422,-1
2423,1
2424,-1
2425,0
2426,-1
2427,-1
2428,-3
2429,-1
2430,-3
2431,-3
2432,-1
2433,-1
2434,1
2435,-1
2436,-2
2437,0
2438,-1
2439,-1
2440,-2
2441,-2
2442,-1
2443,-3
2444,-3
2445,0
2446,-2
2447,-3
2448,-2
2449,-1
2450,0
2451,-2
2452,-1
2453,-3
2454,0
2455,1
2456,1
2457,0
2458,-1
2459,0
2460,-2
2461,0
2462,0
2463,0
2464,0
2465,-2
2466,-2
2467,-4
2468,-1
2469,-3
2470,-3
2471,-1
2472,0
2473,0
2474,0
2475,-1
2476,-2
2477,-1
2478,-1
2479,0
2480,0
2481,-2
2482,0
2483,0
2484,-2
2485,-2
2486,0
2487,1
2488,0
2489,-3
2490,-1
2491,-1
2492,-2
2493,-1
2494,-2
2495,-1
2496,0
2497,-3
2498,-1
2499,0
2500,0
2501,-1
2502,0
2503,0
2504,-1
2505,-1
2506,-2
2507,-1
2508,-2
2509,-1
2510,-4
2511,-1
2512,-1
2513,-2
2514,-2
2515,-1
2516,-1
2517,-1
2518,-3
2519,-5
2520,-1
2521,0
2522,-4
2523,-3
2524,-1
2525,-1
2526,-2
2527,0
2528,-9
2529,-2
2530,-4
2531,-2
2532,-1
2533,-2
2534,-3
2535,-2
2536,0
2537,0
2538,-1
2539,-4
2540,1
2541,-1
2542,0
2543,-2
2544,-4
2545,-2
2546,0
2547,-1
2548,0
2549,-3
2550,-1
2551,-1
2552,-2
2553,0
2554,-2
2555,-2
2556,-1
2557,-1
2558,0
2559,-1
2560,-2
2561,0
2562,-1
2563,0
2564,-2
2565,-2
2566,0
2567,-2
2568,0
2569,-1
2570,0
2571,-3
2572,-1
2573,-3
2574,-8
2575,-1
2576,0
2577,-1
2578,-1
2579,0
2580,-1
2581,-2
2582,-2
2583,0
2584,-1
2585,0
2586,-1
2587,-1
2588,-1
2589,0
2590,0
2591,-2
2592,-2
2593,-3
2594,0
2595,0
2596,0
2597,1
2598,0
2599,-3
2600,-1
2601,0
2602,-2
2603,0
2604,0
2605,-2
2606,-1
2607,-1
2608,-2
2609,1
2610,0
2611,0
2612,-9
2613,0
2614,1
